央视频道,#genre#
CCTV1,http://0.0.0.0:0000/udp/239.77.0.129:5146
CCTV2,http://0.0.0.0:0000/udp/239.77.1.158:5146
CCTV3,http://0.0.0.0:0000/udp/239.77.0.169:5146
CCTV4,http://0.0.0.0:0000/udp/239.77.1.163:5146
CCTV5,http://0.0.0.0:0000/udp/239.77.0.170:5146
CCTV5+,http://0.0.0.0:0000/udp/239.77.0.87:5146
CCTV6,http://0.0.0.0:0000/udp/239.77.0.171:5146
CCTV7,http://0.0.0.0:0000/udp/239.77.1.159:5146
CCTV8,http://0.0.0.0:0000/udp/239.77.0.172:5146
CCTV9,http://0.0.0.0:0000/udp/239.77.1.160:5146
CCTV10,http://0.0.0.0:0000/udp/239.77.1.113:5146
CCTV11,http://0.0.0.0:0000/udp/239.77.1.238:5146
CCTV12,http://0.0.0.0:0000/udp/239.77.1.109:5146
CCTV13,http://0.0.0.0:0000/udp/239.77.0.188:5146
CCTV14,http://0.0.0.0:0000/udp/239.77.1.161:5146
CCTV14,http://0.0.0.0:0000/udp/239.77.1.171:5146
CCTV15,http://0.0.0.0:0000/udp/239.77.1.239:5146
CCTV16,http://0.0.0.0:0000/udp/239.77.0.165:5146
CCTV17,http://0.0.0.0:0000/udp/239.77.0.198:5146
卫视频道,#genre#
重庆卫视,http://0.0.0.0:0000/udp/239.77.1.162:5146
江苏卫视,http://0.0.0.0:0000/udp/239.77.1.18:5146
浙江卫视,http://0.0.0.0:0000/udp/239.77.1.33:5146
东方卫视,http://0.0.0.0:0000/udp/239.77.1.218:5146
北京卫视,http://0.0.0.0:0000/udp/239.77.1.4:5146
山东卫视,http://0.0.0.0:0000/udp/239.77.1.142:5146
天津卫视,http://0.0.0.0:0000/udp/239.77.1.141:5146
贵州卫视,http://0.0.0.0:0000/udp/239.77.1.221:5146
四川卫视,http://0.0.0.0:0000/udp/239.77.1.215:5146
云南卫视,http://0.0.0.0:0000/udp/239.253.43.37:5146
广西卫视,http://0.0.0.0:0000/udp/239.253.43.36:5146
黑龙江卫视,http://0.0.0.0:0000/udp/239.77.1.6:5146
安徽卫视,http://0.0.0.0:0000/udp/239.77.1.92:5146
江西卫视,http://0.0.0.0:0000/udp/239.77.1.219:5146
湖北卫视,http://0.0.0.0:0000/udp/239.77.1.93:5146
旅游卫视,http://0.0.0.0:0000/udp/239.253.43.35:5146
旅游卫视,http://0.0.0.0:0000/udp/239.253.43.101:5146
东南卫视,http://0.0.0.0:0000/udp/239.77.1.104:5146
吉林卫视,http://0.0.0.0:0000/udp/239.77.1.111:5146
辽宁卫视,http://0.0.0.0:0000/udp/239.77.1.103:5146
湖南卫视,http://0.0.0.0:0000/udp/239.77.1.5:5146
河南卫视,http://0.0.0.0:0000/udp/239.77.1.229:5146
河北卫视,http://0.0.0.0:0000/udp/239.77.1.214:5146
甘肃卫视,http://0.0.0.0:0000/udp/239.77.0.189:5146
青海卫视,http://0.0.0.0:0000/udp/239.253.43.125:5146
地方频道,#genre#
大湾区卫视,http://0.0.0.0:0000/udp/239.77.0.9:5146
广东珠江,http://0.0.0.0:0000/udp/239.77.0.1:5146
广东新闻,http://0.0.0.0:0000/udp/239.77.0.173:5146
广东公共,http://0.0.0.0:0000/udp/239.77.0.225:5146
广东体育高清,http://0.0.0.0:0000/udp/239.77.0.112:5146
广东少儿高清,http://0.0.0.0:0000/udp/239.77.0.250:5146
广东影视高清,http://0.0.0.0:0000/udp/239.77.0.217:5146
广东综艺 4K,http://0.0.0.0:0000/udp/239.77.1.237:5146
广州影视高清,http://0.0.0.0:0000/udp/239.253.43.73:5146
广州新闻高清,http://0.0.0.0:0000/udp/239.253.43.72:5146
广州法治高清,http://0.0.0.0:0000/udp/239.253.43.74:5146
广州综合高清,http://0.0.0.0:0000/udp/239.253.43.71:5146
